학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,이수구분,개설대학,개설학과/전공,교과목영문명
2-4학년,학문기초,제4영역:자연과학,PRI4024-01,공학선형대수학,연미정,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","408-321(정보문화관Q Q301 강의실),408-321(정보문화관Q Q301 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Engineering Applications of Linear Algebra
2-4학년,학문기초,제4영역:자연과학,PRI4024-02,공학선형대수학,송윤애,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Engineering Applications of Linear Algebra
2-4학년,학문기초,제4영역:자연과학,PRI4024-03,공학선형대수학,송윤애,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","307-333(명진관 A333 강의실),307-333(명진관 A333 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Engineering Applications of Linear Algebra
2-4학년,학문기초,제4영역:자연과학,PRI4024-04,공학선형대수학,조영덕,서울,"수8.0-9.0/16:00-17:30,금8.0-9.0/16:00-17:30","407-105(정보문화관P P301 정보 PBL),407-105(정보문화관P P301 정보 PBL)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Engineering Applications of Linear Algebra
"1,2학년",학문기초,제4영역:자연과학,PRI4025-01,공학수학1,조영덕,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Mathematics for Engineering 1
"1,2학년",학문기초,제4영역:자연과학,PRI4025-02,공학수학1,최광호,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Mathematics for Engineering 1
"1,2학년",학문기초,제4영역:자연과학,PRI4025-03,공학수학1,김동호,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Mathematics for Engineering 1
"1,2학년",학문기초,제4영역:자연과학,PRI4025-04,공학수학1,조범규,서울,"수8.0-9.0/16:00-17:30,금8.0-9.0/16:00-17:30","408-321(정보문화관Q Q301 강의실),408-321(정보문화관Q Q301 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Mathematics for Engineering 1
"1,2학년",학문기초,제4영역:자연과학,PRI4027-01,이산수학,김동우,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","407-B122(정보문화관P P205 강의실),407-B122(정보문화관P P205 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,공과대학,공과대학 컴퓨터정보통신공학부 컴퓨터공학전공,Discrete Mathematics
"1,2학년",학문기초,제4영역:자연과학,PRI4027-02,이산수학,선석규,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,공과대학,공과대학 컴퓨터정보통신공학부 컴퓨터공학전공,Discrete Mathematics
