,url,title,date,administrator
118,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752179,2023학년도 2학기 교직복수(연계)전공 포기 신청 안내,2023.09.22.,박소정
119,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752159,2023-2학기 응급처치 및 심폐소생술 실습 안내,2023.09.20.,김주성
120,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752147,2024학년도 1학기 학교현장실습Ⅲ(종합실습) 이수 방법 안내,2023.09.19.,박소정
121,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752116,2023학년도 2학기 교육봉사활동 안내,2023.09.15.,김주성
122,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752054,2023학년도 제2학기 교양영어 레벨 변경 / 이수 면제 신청 안내,2023.09.12.,박수빈
123,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752036,2023학년도 2학기 학부 외국어패스제 대체 인정 안내,2023.09.12.,박수빈
124,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752029,9월 13일 모의토익 고사장 및 성적 확인 방법 안내,2023.09.12.,박수빈
125,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751932,2023학년도 2학기 교직 적성 및 인성 검사 실시 안내,2023.09.06.,김주성
126,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751915,2023학년도 2학기 수강정정(대상교과: 교직실무) 안내문,2023.09.06.,박소정
127,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751874,2023-2 「도반8기」 오리엔테이션 자료 및 제출 자료 안내,2023.09.01.,박소정
128,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
129,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
130,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
131,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
132,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
133,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
134,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751873,2023-2 학교현장실습 오리엔테이션 자료 안내,2023.09.01.,박소정
135,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751863,2023학년도 하반기 학부 외국어패스 성적 제출 안내,2023.08.31.,박수빈
136,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751858,2023학년도 2학기  학교현장실습Ⅲ(종합실습) 시행 안내,2023.08.31.,박소정
137,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751814,2023학년도 2학기 학부 졸업 외국어패스제 모의영어시험 일정 안내,2023.08.29.,박수빈
138,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751802,2023학년도 2학기 등록금 납부 재안내,2023.08.29.,문해은
139,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751745,2023학년도 제 2학기 Global Lounge 운영 안내,2023.08.24.,박은미
140,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751708,2023년 9월 1일자 학기초 수료 신청 안내,2023.08.21.,신상훈
141,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751675,2023학년도 후기 신입생 영어레벨테스트 결과 확인 안내,2023.08.17.,박수빈
142,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751663,[다르마칼리지] 개인적 사유 등으로 인한 교양교과목 수강신청 관련,2023.08.16.,이준호
143,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751650,2023학년도 2학기 사이버강좌(일반교양) 시험일정,2023.08.14.,이준호
144,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
145,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
146,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
147,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
148,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
149,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
150,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751646,동국대학교 온라인 교육봉사(도반8기) 참가자 모집,2023.08.14.,박소정
151,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751640,2023학년도 2학기 광운대학교 수학 안내,2023.08.14.,송민정
152,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751631,[창업교육센터] 2023-2학기 창업대체학점 인정제 시행 안내,2023.08.11.,임혜주
153,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751619,2023년 가을 졸업대상자 졸업심사 판정 결과 확인 및 uDRIMS 영문성명 입력 안내,2023.08.10.,신상훈
154,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751564,2023학년도(제4회) 좋은 수업 경연대회 사전교육 특강 안내,2023.08.07.,김주성
155,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751557,2023학년도 2학기 건국대학교 수학 안내,2023.08.07.,송민정
156,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751547,2023학년도 후기 신입생 영어레벨테스트 안내,2023.08.04.,박수빈
157,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751525,2023-2학기 학석사연계과정 모집(2차),2023.08.02.,장연수
158,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751519,2023학년도 2학기 한성대학교 수학 안내,2023.08.02.,송민정
159,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751507,2023학년도 2학기 평택대학교 수학 안내,2023.08.01.,송민정
160,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
161,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
162,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
163,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
164,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
165,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
166,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751506,2023학년도 2학기 서경대학교 수학 안내,2023.08.01.,송민정
167,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751502,2023학년도 2학기 등록금 납부 안내,2023.07.31.,문해은
168,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751500,2023학년도 2학기 전액장학생 등록 절차 안내,2023.07.31.,문해은
169,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751499,2023학년도 2학기 등록금 신용카드 납부 안내,2023.07.31.,문해은
170,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751498,2023학년도 2학기 초과학기생 등록금 납부 안내,2023.07.31.,문해은
171,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751497,2023학년도 2학기 등록금 분할납부 안내,2023.07.31.,문해은
172,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751484,2023학년도 2학기 세종대학교 수학 안내,2023.07.31.,송민정
173,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751480,2023학년도 2학기 국민대학교 수학 안내,2023.07.31.,송민정
174,https://www.dongguk.edu/article/HAKSANOTICE/detail/26751479,2023학년도 2학기 숙명여자대학교 수학 안내,2023.07.31.,송민정
