url,title,created_at,administrator,type
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751817,동국대 천원의 아침밥! 아코야 2학기에도 아침먹자!,2023-08-29,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751809,[참사람사회공헌센터] 2023-2 참사람봉사단(봉사동아리) 20기 단원 모집 (~09.02까지),2023-08-29,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751808,[경영대학 학사운영실] 교내 근로장학생 모집 안내,2023-08-29,김보연,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751807,2023년 2학기 서울캠퍼스↔BMC 셔틀버스 운행 안내,2023-08-29,허선이,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751795,[동국대학교 캠퍼스타운] 사회적 협동조합 현장방문&강연&체험(약산성비누바 만들기) 신청자 모집,2023-08-28,김아라,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751788,2023 서울 시니어 스마트 페스타 참여 자원봉사자 모집,2023-08-28,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751784,2023년 2학기 동국대학교 '사랑의 헌혈' 시행 안내,2023-08-28,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751778,[진로지원 프로그램] HR전문가가 말하는 '인사팀이 뽑고 싶은 인재란?',2023-08-28,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751774,[고양산업진흥원] 2023년 3차 28청춘창업소 신규 입주기업 모집,2023-08-25,이혜진,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751773,2023 JOB&CAREER FESTIVAL 안내,2023-08-25,허선이,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751769,2023 A Farm Show <청년 농업 토크콘서트>,2023-08-25,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751757,"[창업교육센터] 일본오사카상업대학 2023 지역사회문제해결 글로벌 프로그램 참가자 모집(~8/29(화), 선착순 마감)",2023-08-25,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751747,2023년 취업박람회 참여 후기 남기고 커피쿠폰 받아가자!,2023-08-24,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751736,2023 청년 자원봉사 포럼 참여자 모집,2023-08-23,정미래,일반
