course_id,days,start_time,end_time,classroom
50,화,16:30,18:25,1104-266(상영바이오관 266 학부 공용실습실)
50,목,10:30,12:00,1102-132(종합강의동 132 세미나실1)
51,월,10:30,12:00,1104-848(상영바이오관 848 세미나실2(고양캠퍼스))
51,화,12:00,14:00,1104-266(상영바이오관 266 학부 공용실습실)
51,수,10:30,12:00,1104-848(상영바이오관 848 세미나실2(고양캠퍼스))
52,월,13:00,15:00,1104-266(상영바이오관 266 학부 공용실습실)
52,화,09:00,10:30,1102-132(종합강의동 132 세미나실1)
52,목,09:00,10:30,1102-132(종합강의동 132 세미나실1)
53,월,10:30,12:00,307-124(명진관  첨단강의실_스마트)
53,수,10:30,12:00,307-124(명진관  첨단강의실_스마트)
53,금,12:00,14:00,102-211(학술/문화관 K211 (K) 공용컴퓨터실)
54,월,12:00,13:30,207-324(혜화관 324 324 강의실)
54,수,11:00,12:30,207-324(혜화관 324 324 강의실)
55,화,12:00,13:30,207-315(혜화관 315 315 강의실)
55,목,12:00,13:30,207-315(혜화관 315 315 강의실)
56,월,18:00,20:30,307-115(명진관 A115 강의실_스마트)
57,수,18:00,20:30,307-115(명진관 A115 강의실_스마트)
58,화,16:00,18:50,1102-219(종합강의동 219 강의실)
59,월,12:00,13:30,102-342(학술/문화관 K342 342 강의실)
59,수,11:00,12:30,102-342(학술/문화관 K342 342 강의실)
60,월,16:30,18:00,408-321(정보문화관Q Q301 강의실)
60,수,14:00,15:30,408-321(정보문화관Q Q301 강의실)
61,화,12:00,13:30,408-329(정보문화관Q Q302 강의실)
61,목,12:00,13:30,408-329(정보문화관Q Q302 강의실)
62,화,14:00,15:30,307-333(명진관 A333 강의실)
62,금,14:00,15:30,307-333(명진관 A333 강의실)
63,수,16:00,17:30,407-105(정보문화관P P301 정보 PBL)
63,금,16:00,17:30,407-105(정보문화관P P301 정보 PBL)
64,월,12:00,13:30,408-329(정보문화관Q Q302 강의실)
64,수,11:00,12:30,408-329(정보문화관Q Q302 강의실)
65,월,16:30,18:00,408-329(정보문화관Q Q302 강의실)
65,수,14:00,15:30,408-329(정보문화관Q Q302 강의실)
66,화,16:00,17:30,102-352(학술/문화관 K352 352 강의실)
66,목,16:30,18:00,102-352(학술/문화관 K352 352 강의실)
67,수,16:00,17:30,408-321(정보문화관Q Q301 강의실)
67,금,16:00,17:30,408-321(정보문화관Q Q301 강의실)
68,수,12:30,14:00,407-B122(정보문화관P P205 강의실)
68,금,12:00,13:30,407-B122(정보문화관P P205 강의실)
69,수,12:30,14:00,407-B105(정보문화관P P202 강의실)
69,금,12:00,13:30,407-B105(정보문화관P P202 강의실)
70,월,16:30,18:00,501-203(학림관 J212 강의실)
70,수,14:00,15:30,501-203(학림관 J212 강의실)
71,화,12:00,13:30,501-203(학림관 J212 강의실)
71,목,12:00,13:30,501-203(학림관 J212 강의실)
72,화,16:00,17:30,501-203(학림관 J212 강의실)
72,목,16:30,18:00,501-203(학림관 J212 강의실)
73,수,18:00,20:30,202-378(사회과학/경영관 L302 강의실)
74,수,12:30,14:00,202-571(사회과학/경영관 L501 강의실)
74,금,12:00,13:30,202-571(사회과학/경영관 L501 강의실)
75,화,14:00,15:30,501-409(학림관 J413 강의실)
75,금,14:00,15:30,501-409(학림관 J413 강의실)
76,화,18:00,20:30,308-305(과학관 D305 강의실)
77,금,13:00,16:00,1104-208(상영바이오관 208 장전 강의실_스마트)
78,월,14:00,15:30,102-344(학술/문화관 K344 344 강의실)
78,수,14:00,15:30,102-344(학술/문화관 K344 344 강의실)
79,화,13:30,15:00,501-109(학림관 J111 강의실_스마트)
79,목,13:30,15:00,501-109(학림관 J111 강의실_스마트)
80,화,16:00,17:30,501-109(학림관 J111 강의실_스마트)
80,목,16:30,18:00,501-109(학림관 J111 강의실_스마트)
81,수,18:00,20:30,501-109(학림관 J111 강의실_스마트)
82,화,13:30,16:30,1102-218(종합강의동 218 강의실)
83,월,12:00,13:30,408-321(정보문화관Q Q301 강의실)
83,수,11:00,12:30,408-321(정보문화관Q Q301 강의실)
84,수,18:00,20:30,408-321(정보문화관Q Q301 강의실)
85,월,12:00,14:00,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
85,수,11:00,13:00,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
86,월,16:30,18:25,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
86,수,14:00,16:00,401-3115(신공학관(기숙사) 3115 (T) 공용컴퓨터실)
87,수,14:30,16:30,405-318(원흥관 F318 (F) 공용컴퓨터실)
87,금,14:00,16:00,405-318(원흥관 F318 (F) 공용컴퓨터실)
88,수,12:30,14:30,405-318(원흥관 F318 (F) 공용컴퓨터실)
88,금,12:00,14:00,405-318(원흥관 F318 (F) 공용컴퓨터실)
